,action,frame,ball_x,ball_y,player_h1x,player_h1y,player_a1x,player_a1y,player_h2x,player_h2y,player_a2x,player_a2y,player_h3x,player_h3y,player_a3x,player_a3y,player_h4x,player_h4y,player_a4x,player_a4y,player_h5x,player_h5y,player_a5x,player_a5y,ball_carrier,dist_from_basket,closest_def,dist_to_closest_def,shoot_prob,pass
0,0,0,36.507,39.35,18.69,47.883,20.585,42.336999999999996,65.627,37.171,28.732,35.769,44.717,19.284000000000002,46.886,39.394,43.345,10.084,25.343000000000004,16.602,36.677,40.497,21.337,23.843000000000004,5,29.13951506116737,2,9.245377709969453,0.41780019964475085,0
1,0,1,34.941,38.830999999999996,16.745,47.85,18.758,42.402,63.68,36.548,27.837,35.821,42.882,19.133,44.534,38.184,41.57899999999999,9.7938,24.776999999999997,16.601,34.395,39.878,20.07,24.229,5,26.88663067399856,2,7.711459848822405,0.3895955271701935,0
2,0,2,33.812,38.373000000000005,15.033,47.683,17.122,42.501000000000005,61.744,35.971,26.989,35.694,41.221000000000004,18.919,42.202,36.927,39.934,9.5226,24.224,16.47,32.329,38.965,19.097,24.51,5,24.66352501164422,2,6.2621913896015675,0.36298300873165407,0
3,0,3,31.883000000000003,36.74,13.532,47.422,15.612,42.571000000000005,59.841,35.361,26.141,35.427,39.646,18.616,39.918,35.669000000000004,38.374,9.3071,23.678,16.247,30.121,37.992,18.375,24.726,5,22.297145669345213,2,4.734936641603559,0.335037643912676,0
4,0,4,27.635,35.908,12.235,47.096000000000004,14.187000000000001,42.597,57.93600000000001,34.731,25.159000000000002,35.181,38.121,18.304000000000002,37.699,34.51,36.969,9.1729,23.096999999999998,16.026,27.878,37.281,17.755,24.814,5,20.073212124620213,2,3.435543770642428,0.3135527007659793,0
5,0,5,24.476999999999997,38.126,11.168,46.81399999999999,12.935,42.482,56.074,34.07,23.997,35.082,36.724000000000004,18.099,35.576,33.379,35.701,9.1365,22.538,15.764000000000001,25.7,37.11,17.279,24.818,5,18.28502392670023,2,2.648205618904996,0.305822796603162,0
6,0,6,22.729,38.917,10.36,46.613,11.883,42.236999999999995,54.20399999999999,33.423,22.541,35.196999999999996,35.416,17.999000000000002,33.505,32.426,34.506,9.1351,22.026,15.505,23.413,37.288000000000004,16.914,24.872,5,16.770554940132424,2,2.2655385673168387,0.31036480508761627,0
7,0,7,21.49,40.266,9.7837,46.504,11.084000000000001,41.923,52.412,32.863,20.983,35.461,34.28,17.916,31.513,31.598000000000003,33.412,9.1761,21.533,15.235999999999999,21.4,37.461,16.52,24.958000000000002,5,15.608860336360241,2,2.0430097895017534,0.31742663068948257,0
8,0,8,20.151,41.445,9.6381,46.59,10.614,41.623000000000005,50.651,32.354,19.563,35.755,33.277,17.789,29.561999999999998,30.921,32.403,9.184,20.895,14.969000000000001,19.454,37.718,16.079,25.128,5,14.741425982583912,2,1.966023906263605,0.3267021067134106,0
9,0,9,18.84,42.721000000000004,9.9971,46.677,10.407,41.626999999999995,48.941,31.879,18.503,36.094,32.383,17.651,27.772,30.539,31.526,9.2561,20.188,14.779000000000002,17.664,38.339,15.481,25.389,5,14.491715460910761,2,2.3966530829471306,0.34665390629610077,0
10,0,10,17.652,43.645,10.934000000000001,46.301,10.569,41.951,47.326,31.489,17.967,36.532,31.636999999999997,17.614,26.134,30.357,30.796,9.4545,19.387,14.675999999999998,16.067,39.421,14.734000000000002,25.668000000000003,5,14.983515275128196,2,3.4577913470884867,0.3788533912106089,0
11,0,11,16.529,44.621,12.204,45.416000000000004,11.283,42.78,45.778,31.149,17.717,36.94,31.026999999999997,17.750999999999998,24.624000000000002,30.329,30.19,9.6931,18.704,14.635,14.800999999999998,40.732,13.956,25.898000000000003,5,15.979406278081797,1,4.070703624682102,0.3862162345628809,0
12,0,12,16.241,45.481,13.472000000000001,44.911,12.24,43.714,44.376999999999995,30.851999999999997,17.776,37.428000000000004,30.445999999999998,17.883,23.324,30.381,29.712,9.9876,18.137,14.634,14.034,42.178000000000004,13.165999999999999,26.095,1,19.96533758792974,1,1.7177406672719864,0.2568697156412415,1
13,0,13,17.784000000000002,46.408,15.149000000000001,44.888999999999996,13.200999999999999,44.647,43.089,30.622,17.919,37.84,29.99,18.012,22.339000000000002,30.39,29.339000000000002,10.276,17.642,14.661,13.515,43.276,12.507,26.226,1,20.136745566252753,1,1.9629742739017257,0.26344903714648077,0
14,0,14,19.146,46.958999999999996,16.730999999999998,45.223,13.969000000000001,45.458,41.918,30.459,18.031,38.201,29.776,18.172,21.608,30.235,29.05,10.555,17.165,14.697000000000001,13.214,44.00899999999999,12.017999999999999,26.340999999999998,1,20.769017550187588,1,2.7719792567766417,0.2845677273788091,0
15,0,15,20.839000000000002,46.70399999999999,18.535,45.906000000000006,14.369000000000002,45.99100000000001,40.846,30.392,18.16,38.541,29.574,18.172,21.325,30.22,28.881,10.892000000000001,16.750999999999998,14.755999999999998,12.876,44.66,11.776,26.476999999999997,1,21.90358557405614,1,4.166867048514986,0.3202157089257897,0
16,0,16,22.285,45.403,20.544,45.655,14.658,46.301,39.902,30.465999999999998,18.329,38.611999999999995,29.55,18.189,21.289,30.139,28.811999999999998,11.279000000000002,16.494,14.819,12.307,45.2,11.728,26.594,1,22.35238155096678,1,5.921343766409785,0.3718660086454797,0
17,0,17,23.608,43.825,22.173000000000002,44.817,14.899000000000001,46.172,39.066,30.624000000000002,18.65,38.486,29.4,18.031,21.393,29.959,28.9,11.725,16.445999999999998,14.865,11.644,45.748000000000005,11.908,26.648000000000003,1,22.27562385209447,2,7.245211522102033,0.4120847903025889,0
