,action,frame,ball_x,ball_y,player_h1x,player_h1y,player_a1x,player_a1y,player_h2x,player_h2y,player_a2x,player_a2y,player_h3x,player_h3y,player_a3x,player_a3y,player_h4x,player_h4y,player_a4x,player_a4y,player_h5x,player_h5y,player_a5x,player_a5y
32,0,32,34.632,30.544,27.861,38.337,14.801,42.675,30.502,31.066,25.811,36.324,26.743,14.661,23.994,29.498,35.601,23.27,25.49,20.872,15.196,47.917,19.143,22.116
33,0,33,36.178,26.98,28.034,37.864,15.218,42.516,30.407,31.188,26.243,35.953,26.515,14.443,23.539,29.669,35.909,24.109,26.058,21.59,14.869,47.805,19.068,21.648
34,0,34,36.732,25.752,28.41,37.162,15.638,42.539,30.204,31.17,26.708,35.539,26.268,14.338,23.052,29.725,36.196,24.988,26.608,22.367,14.49,47.741,18.983,21.174
35,0,35,37.297,26.164,28.816,36.419,15.936,42.487,29.918,31.038,27.154,35.04,25.997,14.315,22.591,29.743,36.419,25.892,27.086,23.151,14.094,47.65,18.796,20.691
36,0,36,37.372,27.53,29.388,35.685,16.028,42.251,29.521,30.75,27.673,34.436,25.658,14.316,22.078,29.759,36.476,26.728,27.524,23.884,13.628,47.486,18.549,20.191
37,0,37,37.326,28.894,30.049,34.924,16.011,41.987,28.997,30.375,28.166,33.77,25.259,14.322,21.551,29.748,36.417,27.635,27.859,24.649,13.151,47.314,18.355,19.715
38,0,38,37.559,29.65,30.666,34.239,15.905,41.736,28.531,30.021,28.628,33.053,24.898,14.407,21.047,29.769,36.307,28.601,27.983,25.442,12.667,47.157,18.223,19.258
39,0,39,37.637,30.339,31.205,33.37,15.666,41.512,27.97,29.648,29.166,32.384,24.537,14.538,20.574,29.758,36.208,29.756,27.855,26.181,12.19,47.109,18.276,18.833
40,0,40,37.193,31.854,32.207,32.607,15.329,41.386,27.399,29.215,29.572,31.682,24.389,14.791,20.158,29.706,35.928,30.849,27.615,26.99,11.674,47.13,18.473,18.471
41,0,41,36.056,33.624,32.864,31.763,14.883,41.334,26.907,28.992,30.128,31.097,24.344,15.126,19.786,29.608,35.64,31.994,27.385,27.675,11.09,47.145,18.714,18.193
42,0,42,35.705,35.167,33.502,30.853,14.374,41.308,26.411,28.945,30.556,30.34,24.302,15.413,19.456,29.417,35.176,33.141,27.291,28.334,10.465,47.162,18.968,18.024
43,0,43,35.517,35.667,34.202,30.038,13.859,41.28,25.776,28.896,30.949,29.488,24.279,15.663,19.152,29.221,34.63,34.259,27.226,29.113,9.8276,47.084,19.12,17.978
44,0,44,34.934,36.765,34.332,28.986,13.345,41.177,25.132,29.09,31.314,28.547,24.166,15.952,18.904,29.049,34.093,35.431,26.998,29.692,9.2695,46.997,19.197,18.037
45,0,45,33.548,37.788,34.754,27.865,12.817,41.022,24.373,29.019,31.649,27.46,24.062,16.272,18.73,28.914,33.448,36.487,26.777,30.734,8.7943,46.998,19.234,18.236
46,0,46,32.439,39.337,34.963,26.784,12.236,40.84,23.492,28.834,32.022,26.46,24.055,16.758,18.622,28.808,32.734,37.414,26.46,31.892,8.3333,46.972,19.24,18.574
47,0,47,31.99,40.147,35.023,25.56,11.614,40.701,22.614,28.617,32.2,25.367,24.191,17.373,18.508,28.643,31.919,38.229,26.11,33.046,7.8516,47.067,19.141,19.01
48,0,48,31.484,40.863,34.938,24.362,10.99,40.649,21.585,28.216,32.342,24.325,24.517,18.135,18.312,28.35,31.057,38.993,25.65,34.167,7.3528,47.149,18.908,19.443
49,0,49,30.415,41.189,34.818,23.328,10.357,40.666,20.545,27.523,32.39,23.321,24.825,19.03,17.968,27.91,30.166,39.614,25.076,35.066,6.9496,47.304,18.811,19.877
50,1,0,17.139,46.033,13.764,42.787,12.728,44.184,14.304,44.885,17.85,37.651,43.736,30.733,22.789,30.393,29.513,10.131,17.888,14.641,30.185,17.931,12.827,26.171
51,1,1,18.45,46.926,13.387,43.676,13.601,45.091,15.9,45.203,17.98,38.021,42.479,30.527,21.934,30.332,29.179,10.414,17.396,14.679,29.871,18.106,12.237,26.281
52,1,2,20.008,46.93,13.066,44.394,14.229,45.759,17.612,45.673,18.079,38.399,41.359,30.409,21.429,30.234,28.953,10.718,16.944,14.724,29.685,18.194,11.867,26.411
53,1,3,21.666,46.1,12.554,44.889,14.546,46.215,19.491,45.758,18.234,38.609,40.358,30.402,21.287,30.191,28.824,11.079,16.591,14.792,29.563,18.193,11.732,26.544
54,1,4,23.072,44.662,11.973,45.458,14.773,46.284,21.381,45.263,18.436,38.575,39.47,30.552,21.321,30.064,28.836,11.493,16.44,14.839,29.518,18.153,11.812,26.61
55,1,5,24.649,42.989,11.299,46.059,15.013,45.94,22.99,44.289,18.95,38.407,38.626,30.661,21.587,29.91,29.006,11.979,16.495,14.885,29.275,17.885,12.135,26.633
56,1,6,26.841,42.371,10.666,46.6,15.151,45.251,24.318,43.113,19.752,37.931,37.813,30.673,21.93,29.607,29.255,12.495,16.726,14.937,29.033,17.589,12.7,26.504
57,1,7,27.136,41.073,10.072,47.041,15.249,44.385,25.449,41.965,20.769,37.484,36.983,30.6,22.273,29.223,29.624,13.127,17.084,15.016,28.864,17.318,13.441,26.179
58,1,8,27.193,39.938,9.6357,47.372,15.121,43.395,26.25,41.005,21.962,37.134,36.161,30.46,22.665,28.973,29.955,13.7,17.515,15.217,29.115,16.727,14.277,25.668
59,1,9,27.727,39.086,9.4673,47.63,14.859,42.586,26.847,40.301,23.132,36.833,35.396,30.4,23.015,28.824,30.219,14.252,18.024,15.507,29.658,16.12,15.069,25.066
60,1,10,27.97,40.128,9.6998,47.885,14.501,41.786,27.208,39.971,24.034,36.783,34.645,30.398,23.512,28.793,30.57,14.833,18.588,15.881,30.321,15.693,15.836,24.447
61,1,11,28.385,40.133,10.213,48.1,14.121,41.488,27.381,39.733,24.673,36.825,33.925,30.423,23.944,28.735,30.967,15.481,19.2,16.288,30.258,15.505,16.624,23.934
62,1,12,28.31,40.72,10.954,48.23,13.859,41.785,27.51,39.519,24.997,36.897,33.237,30.421,24.272,28.648,31.549,16.291,19.867,16.691,29.572,15.765,17.389,23.611
63,1,13,28.417,40.733,11.777,48.246,13.647,42.287,27.632,39.348,25.069,36.978,32.588,30.379,24.498,28.584,32.166,17.289,20.58,17.077,28.752,16.018,18.093,23.404
64,1,14,28.839,40.269,12.596,48.196,13.58,43.071,27.743,39.192,25.15,36.967,31.96,30.351,24.636,28.505,32.783,18.265,21.244,17.5,28.052,16.03,18.675,23.359
65,1,15,27.898,39.862,13.461,48.122,13.596,43.462,27.778,39.051,25.176,36.886,31.434,30.331,24.728,28.477,33.326,19.185,21.877,17.973,27.813,15.892,19.094,23.346
66,1,16,29.637,39.26,14.29,48.11,13.885,43.757,27.764,38.95,25.201,36.818,31.022,30.385,24.809,28.527,33.914,20.165,22.672,18.539,27.569,15.724,19.321,23.282
67,1,17,31.19,37.992,14.965,48.111,14.05,43.564,27.703,38.869,25.236,36.744,30.738,30.521,24.798,28.739,34.505,21.112,23.464,19.183,27.323,15.447,19.348,23.097
68,1,18,32.252,35.301,15.294,48.047,14.286,43.194,27.644,38.743,25.389,36.636,30.594,30.721,24.573,29.074,35.003,21.978,24.338,19.839,27.105,15.128,19.259,22.756
69,1,19,33.863,32.058,15.291,47.964,14.647,42.874,27.784,38.503,25.656,36.475,30.522,30.947,24.2,29.379,35.414,22.831,25.175,20.523,26.865,14.814,19.179,22.345
70,1,20,35.36,28.626,15.042,47.855,15.005,42.568,27.947,38.127,26.011,36.144,30.466,31.149,23.777,29.601,35.766,23.7,25.785,21.222,26.626,14.531,19.105,21.884
71,1,21,36.62,25.847,14.679,47.767,15.442,42.518,28.191,37.537,26.486,35.756,30.321,31.198,23.292,29.707,36.06,24.535,26.332,21.978,26.397,14.379,19.033,21.415
72,1,22,36.906,25.974,14.301,47.708,15.812,42.541,28.598,36.772,26.906,35.282,30.07,31.122,22.823,29.734,36.321,25.456,26.87,22.764,26.132,14.315,18.908,20.936
73,1,23,37.365,26.788,13.875,47.585,15.998,42.38,29.093,36.06,27.416,34.741,29.727,30.917,22.342,29.754,36.469,26.311,27.326,23.526,25.842,14.312,18.666,20.432
